Group,Genus,Species,Tandem,Parthenogenesis,Incipient,Mature,Source,Ref,Note1,Note2
Neo,Odontotermes,formosanus,1,NA,monogamous/multiple,monogamous/multiple,field,"Chiu CI, Neoh KB, Li HF. Colony-founding success of pleometrosis in a fungus-growing termite Odontotermes formosanus. Behavioral Ecology and Sociobiology. 2018 Jan 28;72(1):13. ",,
Neo,Odontotermes,obesus,1,NA,monogamous,monogamous,field,"Veeranna G, Basalingappa S. Nesting pattern of the termites Odontotermes obesus Rambur and Odontotermes wallonensis Wasmann (Isoptera: Termitidae). International Journal of Tropical Insect Science. 1989 Apr;10(2):169–80. ","but exceptionally multiple reproductives, see Roonwal ML, Gupta SD. An unusual royal chamber with two kings and two queens in the Indian mound’  building termite, Odontotermes  obesus (Rambur) [Isoptera: Family Termitidae]. The journal of the Bombay Natural History Society. 1952;51:293–5. ",
Neo,Odontotermes,distans,1,NA,NA,monogamous,field,"McMahan EA, Kumar S, Sen-Sarma PK. Male/Female (Size) Polyethism in Workers of Odontotermes distans Holmgren and Holmgren (Isoptera: Termitidae: Macrotermitinae). Annals of the Entomological Society of America. 1984 Jul 1;77(4):429–34. ",one colony,
Neo,Odontotermes,brunneus,1,NA,NA,monogamous,field,"Farzana J, Sangamma I, Rajashekhar M, Vijaykumar K, Burli P, Chimkod VN. Nesting pattern of the termites Odontotermes brunneus and Odontotermes wallonensis (Isoptera: Termitidae). Electronic Journal of Environmental Sciences. 2010;3:00–00. ",,
Neo,Odontotermes,assmuthi,1,NA,NA,NA,NA,NA,,
Neo,Pseudacanthotermes,spiniger,1,NA,NA,multiple,field,"Darlington JPEC. Mound Structure and Nest Population of the Termite, Pseudacanthotermes Spiniger (Sjostedt) in Kenya. Int J Trop Insect Sci. 1994 Oct;15(4–5):445–52. ",1 nest,
Neo,Pseudacanthotermes,militaris,1,NA,NA,NA,NA,NA,,
Neo,Anoplotermes,sp,1,NA,NA,monogamous,field,"Martius C, d’Arc Ribeiro J. Colony Populations and Biomass in Nests of the Amazonian Forest Termite Anoplotermes banksi Emerson (Isoptera: Termitidae). Studies on Neotropical Fauna and Environment. 1996 Jun 1;31(2):82–6. ",,
Neo,Cubitermes,tenuiceps,1,NA,NA,NA,NA,NA,,
Neo,Isognathotermes,ugandensis,1,NA,NA,NA,NA,NA,Cubitermes,
Neo,Nitiditermes,testaceus,1,NA,NA,NA,NA,NA,Cubitermes,
Neo,Ternicubitermes,glebae,1,NA,NA,NA,NA,NA,Cubitermes,
Neo,Cornitermes,bequarerti,1,NA,NA,NA,NA,NA,,
Neo,Cornitermes,cumulans,1,NA,monogamous,monogamous,field,"Da Silva LHB, Jost C, Vargo EL, Costa-Leonardo AM, Haifig I. Incipient colonies of the neotropical termite Cornitermes cumulans (Isoptera: Termitidae): comparing monogamy and polygamy as reproductive strategies. Insect Soc. 2022 Feb 1;69(1):99–104. ",ocational multiple,
Neo,Embiratermes,neotenicus,1,Parthenogenesis,monogamous,monogamous,genetics,"Fougeyrollas R, Dolejšová K, Křivánek J, Sillam-Dussès D, Roisin Y, Hanus R, et al. Dispersal and mating strategies in two neotropical soil-feeding termites, Embiratermes neotenicus and Silvestritermes minutus (Termitidae, Syntermitinae). Insect Soc. 2018 May 1;65(2):251–62. ",,
Neo,Procornitermes,araujoi,1,NA,NA,NA,NA,NA,,
Neo,Nasutitermes,corniger,1,NA,monogamous,monogamous/multiple,genetics,"Atkinson L, Adams ES. The origins and relatedness of multiple reproductives in colonies of the termite Nasutitermes corniger. Proc R Soc Lond B. 1997 Aug 22;264(1385):1131–6. ",,
